text,label,cardinalidad_vocabulario,Longitud del Comentario,Recuento de Palabras
avion venezolano ocho tripulantes coinciden en vuelos a paraguay y argentina httpstco44ucl7qr7p via,0,13,99,13
aqui pidiendole consejos al amigo veneco pa sobrevivir al socialismo,0,9,68,10
cinicos desinforman con guion preparado ecena para novela venezolana izaterroristacorreafinancista,0,10,98,10
gobierno de belgica ustedes que albergan a rafael correa como refugiado son corresponsables de sus actos y de la actual crisis social de ecuador los eighteen millones queremos paz y reparacion economica argumentaremos y exigiremos la peticion httpstcorsndohzneu,0,32,261,38
y esto es lo que pasa cuando dejas a autenticos indocumentados al cargo del patrimonio de una de las hermandades mas importantes de sevilla destrozan un manto y encima presumen de ello httpstcoalgwhjr57n,0,29,203,33
repudiamos los actos vandalicos y responsabilizamos a belgica y su refugiado por no respetar y cumplir las leyes internacionales que lo asisten las negociaciones de paz velaran por el bien de ecuatorianos y su reparacion economica inmediata httpstcoeqvaplokg3,0,31,259,38
buenas noches dije ilegal no irregular si no tienes documentos indocumentado para estar en un pais no existe legalidad en tu estadia,0,19,132,22
eso me dijeron dos venezolanas en miami que asi pensaron al principio y mira en que termino todo una de ellas llorando porque hasta las joyas las tuvo que vender regalar para poder salir de ese infierno,0,32,202,37
da ordenes en tu pais veneco,1,6,28,6
el grupo de alumnos de ha recaudado unas four hundred donaciones a favor de los proyectos de atencion a personas refugiadas de ucrania que llevamos a cabo desde el inicio del conflicto httpstcofb7tr14gqb,0,26,203,33
na comunida valenciana o runrun sobre asuntos sordidos con menores tutelados leva decadas a soar no ambiente chama a atencion que rompese por onde rompeu,0,24,153,25
ser venezolano chavista y ni vivir en venezuela apoyando al socialismo debe ser el acto de maldad mas grande que existe,0,20,119,21
afidro y profamilia se unieron para prestar servicios de salud sexual y reproductiva a poblacion migrante y refugiada en buenaventura httpstcozgdamprxna,0,19,152,21
en venezuela la regalan,0,4,23,4
el diamundialdelosrefugiados es una ocasion para fomentar la comprension y la empatia hacia las personas refugiadas y desplazadas en consideracion de las dificiles circunstancias en las que se encuentran,0,24,203,29
ahi no derechos humanos es solo para la venezolana que quemo el patrullero,1,13,74,13
el conflicto de ucrania visibiliza el doble rasero a la hora de proteger las personas refugiadas en el estado espanol httpstcofxkhuturlf,0,18,136,21
gobierno de belgica ustedes que albergan a rafael correa como refugiado son corresponsables de sus actos y de la actual crisis social de ecuador los eighteen millones queremos paz y reparacion economica argumentaremos y exigiremos la peticion httpstco3z8vpxb8bf,0,32,261,38
y a los asesinos de los chamos que prrotestaban contra maduro,0,10,61,11
acto seguido aumentara el flujo de personas venezolanas a colombia en donde llegara un grupo de gente necesitada y principalmente delincuentes historia ya vivida por ecuador que pena que colombia no aprendio de nuestra experiencia,1,31,230,35
gracias a la unica y verdadera opositora venezolana,0,8,51,8
es una verguenza lo que esta sucediendo personas casi que refugiadas tienen que explicar el por que reciben ayuda mi abrazo solidario httpstcoyjnagc17c7,0,20,152,23
media latinoamerica ahora es de izquierda por que uruguay y costa rica no estan llorando por que honduras y el salvador con gobiernos de derecha presentan migracion comparable a la venezolana,0,27,191,31
pero se caga del miedo refugiado en las faldas de los militares policias y sacando las ofensas en la prensa asi son los cobardes sin pantalones para darle la cara a su ineptitud y mediocridad,0,30,191,35
ecuador es un pais de destino y transito para personas que necesitan proteccion internacional en las ultimas dos decadas ecuador ha acogido a una de las mayores poblaciones de refugiados reconocidos en america latina la mayoria de ellos de la vecina colombia,0,34,258,42
sobre las personas refugiadas venezolanas en colombia httpstco14wjo4tvi4,0,8,72,8
podria ser que vayan a venezuela nicaragua por alla creo tambien les quieren,0,13,76,13
senores senasa me indica por favor que tipo de inmunizacion y que inmunogeno utilizan para prevenir encefalitis equina venezolana igualmente la misma informacion para las enfermedades exoticas en bovinos mencionadas en su tweet gracias por la respuesta,0,32,252,37
"dara entradas gratuitas a los refugiados ucranianos y donara usd three hundred and seven thousand, one hundred a los afectados por la invasion rusa del pais httpstcohcaapfczz5",0,25,175,27
soy venezolana y hable con cada colombiano y explique con detalle lo que pasaria en su pais si ganaba el socialismo pero los pobres tienen tando deseo de ser escuchados que le dieron el poder al menos indicado,0,34,209,38
ojala eso pase para q los venezolanos regresen a su pais a luchar por el y dejen de estar opinando sobre colombia pais que les tendio la mano y son unos desagradecidos,1,29,167,32
jovenes como parias vendiendo frunas y diciendo las mismas sandeces que se escuchan de los jovenes venezolanos en los buses lastimosamente sera asi es tiempo y cuando uno ya pasa de cierta edad tiene una cualidad se llama pacienciapareciera q uds no supiesen que clase,1,39,268,45
eso a usted lo le interesa si compramos o no dolar si usted es veneco busque su pais,1,16,84,18
