text,label,variation
Avión venezolano: ocho tripulantes coinciden en vuelos a Paraguay y Argentina https://t.co/44UCL7qR7p vía @1000noticiaspy,0,latam
Aquí pidiéndole consejos al amigo veneco pa sobrevivir al socialismo,0,latam
"@DianaDvilaNarv1 Cínicos desinforman con guión preparado, ecena para novela #Venezolana 
#IzaTerroristaCorreaFinancista",0,latam
@DianAngel01 No se chama dime tu 🤭🤭🤣😛😅😅,0,latam
"Gobierno de Bélgica ustedes que albergan a Rafael Correa como refugiado, son corresponsables de sus actos y de la actual crisis social de Ecuador, los 18 millones queremos PAZ y reparación económica, argumentaremos y exigiremos la petición. https://t.co/rSndohzNEU",0,latam
"A todas las personas que han tenido que moverse por su condición de Refugiadas les decimos #MiCasaEsTuCasa

Hoy en el día mundial de las personas, conmemoramos su Lucha y esfuerzo por una vida digna.

Únete aquí con nuestro filtro 👇💙 https://t.co/CQfxpCtWQZ

 #DíaDelRefugiado https://t.co/C9csIQWipC",0,latam
"Y esto es lo que pasa cuando dejas a auténticos indocumentados al cargo del patrimonio de una de las hermandades más importantes de Sevilla.
Destrozan un manto y encima presumen de ello. https://t.co/aLgWHjr57n",0,latam
"Repudiamos los actos vandalicos y responsabilizamos a Bélgica y su refugiado por no respetar y cumplir las leyes internacionales que lo asisten, las negociaciones de paz velarán por el bien de ecuatorianos y su reparación económica inmediata https://t.co/EqVaPloKg3",0,latam
@maria_belen @LassoGuillermo @CpccsEc @CJudicaturaEc @CorteConstEcu @CorteNacional @cnegobec @IESSec Buenas noches: Dije ilegal / no irregular. Si no tienes documentos (indocumentado) para estar en un país / no existe legalidad en tu estadía.,0,latam
"@IglesiasJulio87 Eso me dijeron dos venezolanas en Miami, que así pensaron al principio y mira en que terminó todo. Una de ellas llorando porque hasta las joyas las tuvo que vender (regalar) para poder salir de ese infierno.",0,latam
@AnderssonBoscan Da órdenes en tu país veneco,1,latam
El grupo de alumnos de @iesebschool ha recaudado unas 400 donaciones a favor de los proyectos de atención a personas refugiadas de #Ucrania que llevamos a cabo desde el inicio del conflicto. https://t.co/fB7Tr14gqb,0,latam
@tecnoloxia Na comunidá valenciana o runrún sobre asuntos sórdidos con menores tutelados leva décadas a soar no ambiente. Chama a atención que rompese por onde rompeu.,0,latam
"Ser venezolano , chavista y ni vivir en Venezuela apoyando al socialismo debe ser el acto de maldad más grande que existe.",0,latam
AFIDRO y Profamilia se unieron para prestar servicios de salud sexual y reproductiva a población migrante y refugiada en Buenaventura https://t.co/ZgDaMpRXNa,0,latam
@anaraffo1 @BancadaUNESec En Venezuela la regalan,0,latam
El #DíaMundialDeLosRefugiados es una ocasión para fomentar la comprensión y la empatía hacia las personas refugiadas y desplazadas en consideración de las difíciles circunstancias en las que se encuentran.,0,latam
@Polificcion Ahí no derechos humanos es solo para la venezolana que quemo el patrullero,1,latam
"El conflicto de Ucrania visibiliza el doble rasero a la hora de proteger las personas refugiadas en el Estado español

https://t.co/FXkHUturlF",0,latam
"Gobierno de Bélgica ustedes que albergan a Rafael Correa como refugiado, son corresponsables de sus actos y de la actual crisis social de Ecuador, los 18 millones queremos PAZ y reparación económica, argumentaremos y exigiremos la petición. https://t.co/3z8vpxb8bf",0,latam
@Venereal14 Y a los asesinos de los chamos que prrotestaban contra Maduro?,0,latam
"@LaPosta_Ecu Acto seguido, aumentará el flujo de personas venezolanas a Colombia, en dónde llegará un grupo de gente necesitada y principalmente delincuentes.  Historia ya vivida por Ecuador. Que pena que Colombia no aprendió de nuestra experiencia...",1,latam
"#Migración | Según la cifra de la Agencia de la ONU para los Refugiados (ACNUR), al menos 6.659.220 ucranianos han huido de su país, partiendo principalmente hacia las naciones europeas vecinas.👇https://t.co/HEq7iTna7e",0,latam
@MariaCorinaYA Gracias a la única y verdadera opositora venezolana,0,latam
"Refugiado en la Universidad Salesiana en Quito, Gonzalo Ulcuando, oriundo de Cayambe - Cangahua, comenta sobre el recorrido que ha debido realizar para llegar a la capital y sus razones para sumarse al #ParoNacionalEc2022: 👉https://t.co/BWeVViVZE9 https://t.co/Xxm1YpaRAu",0,latam
"Es una vergüenza lo que está sucediendo. Personas, casi que refugiadas, tienen que explicar el por qué reciben ayuda. Mi abrazo solidario @WilsonMerinoR https://t.co/YJnAGC17C7",0,latam
@Teresa_Peyres @MariaCAlvarezS Media Latinoamérica ahora es de izquierda por qué Uruguay y costa rica no estan llorando? Por qué Honduras y el salvador con gobiernos de derecha presentan migración comparable a la venezolana?,0,latam
"@CarlosVerareal Pero @LassoGuillermo se caga del miedo refugiado en las faldas de los militares, policías y sacando las ofensas en la prensa. Así son los cobardes sin pantalones para darle la cara a su ineptitud y mediocridad.",0,latam
"Ecuador es un país de destino y tránsito para personas que necesitan protección internacional. En las últimas dos décadas, Ecuador ha acogido a una de las mayores poblaciones de refugiados reconocidos en América Latina, la mayoría de ellos de la vecina Colombia. @ACNURamericas",0,latam
Sobre las personas refugiadas venezolanas en Colombia https://t.co/14wjO4tvi4,0,latam
"@AldeaFundacion @DDHH_Alianza @SurkunaEc @VivianIdrovo @confeniae1 @CIDH Podría ser que vayan a Venezuela, Nicaragua por allá creo también les quieren.",0,latam
"@SagSenasaHn @saghonduras Señores SENASA me indica por favor que tipo de inmunización y que inmunógeno utilizan para prevenir Encefalitis Equina Venezolana. Igualmente la misma información para las enfermedades exóticas en bovinos mencionadas en su Tweet. 
Gracias por la respuesta.",0,latam
"@Wimbledon dará entradas gratuitas a los refugiados ucranianos y donará USD 307.100 a los afectados por la invasión rusa del país.

https://t.co/hcAaPfcZZ5",0,latam
"@EmmaRincon Soy venezolana y hablé con cada colombiano y explique con detalle lo que pasaria en su país si ganaba el socialismo, pero los pobres tienen tando deseo de ser escuchados que le dieron el poder al menos indicado.",0,latam
@SinCensuraCol Ojalá eso pase para q los venezolanos regresen a su país a luchar por el y dejen de estar opinando sobre Colombia país que les tendió la mano y son unos desagradecidos,1,latam
"@Winchester1121 @SandraC22228290 @VickyDavilaH @Eganbernal Jóvenes como parias vendiendo frunas  y diciendo  las mismas sandeces que se escuchan  de los jóvenes venezolanos  en los buses,  lastimosamente  será así, es tiempo y cuando uno ya pasa de cierta  edad tiene una cualidad se llama paciencia...pareciera q uds no supiesen que clase",1,latam
@GeneralDHodl @enfermera1990 Eso a usted lo le interesa si compramos o no dólar si usted es veneco busque su pais,1,latam
"Marica ¿por qué los Venezolanos creen que pueden opinar de la situación política de otro país? Nosotros no queremos nada regalado cómo ustedes, partida de hijueputas.",1,latam
"No sabía que ya se había posesionado @petrogustavo pero debe ser que ya paso porque ya da órdenes a fiscalía, procuraduría, alcaldes y hasta a @IvanDuque , ya se restablecieron relaciones con el régimen Venezolano, mejor dicho ya empezó este régimen!!",0,latam
"Esta noche, única función de MUJ-ERES de Colectiva de Mujeres Refugiadas, Exiliadas y Migradas, proceso de varios años de investigación dentro de la línea de trabajo Memoria y Paz, en el Gimanasio Moderno con entrada libre. Más info en: https://t.co/aivCB30OJf https://t.co/XRHzarqgDj",0,latam
