comments,Logistic Regression,Gradient Boosting
angel espana es uno de los peores paises de europa por culpa de la corrupcion de los politicos no hay nada que hacer,1,0
la mayor estafa del electrico,1,0
en fin por esa razon no compres una mierda de esas,1,1
de locos valla castana de marca,1,1
angel tesla te tine sentenciado para ellos eres persona no grata es triste pero son americanos son como apple solo para ellos y creo que lo de apagar el coche es legal en usa aqui en espana no lose,0,0
si si a lo salvaje ellos trincan la pasta y ahi te las compongas gracias por abrirnos los ojos te deseo suerte con este tipo de vehiculos pero yo nunca lo vi claro lo considero un engano brutal para mi son unos sinverguenzas saludos un abrazo y suerte,0,0
salvage es salvable no salvaje,1,1
tienes toda la razon angel todo mentira y esclavos de las corporaciones gracias por tu buen hacer y por descubrir el fraude que tratan de esconder,0,0
monguel el coche no te lo ha bloqueado tesla no tienes el pin y eso te lo tiene que dar el anterior propietario eso lo tienes que reclamar a quien te lo vendio una vez que lo tengas itv y le demuestras a tesla que ese es tu coche es logico que tesla no te va a dar el pin de ese coche sin confirmar que no es tuyo es que mira que eres manipulador,1,0
lo que se me hace es que eres un poco hablador por algo lo compraste no creo que seas tan buena gente ni tampoco un santo,0,0
recuerda que hay sentencias judiciales sobre los telefonos que no eran libres que solo funcionaban con una compania y que al final te lo tienen que liberar gratis se le puede aplicar lo mismo al tesla,0,0
despues de haber comprado el vehiculo ningun fabricante puede reclamar derecho sobre su uso eso incluye la dependencia presencia o remota sobre cualquier funcion que afecte el uso y autonomia del uso por parte del propietario del vehiculo incidir o afectar dicha autonomia es ir en contra del derecho del usuario para utilizar su vehiculo como le plazca y eso es debe ser considerado como un delito sobre la propiedad del propietario del vehiculo,0,0
si quieres electrico compra los chinos no tienen ningun problema de estos y son mucho mas baratos,1,0
se llama tecno comunismo el sueno mojado del sionismo internacional y por eso que estan obligando a tener los daninos carros electricos porque te lo apagan cuando ellos quieran el carro no es tuyo tienes que pagar y te quitan el derecho a circular cuando ellos quieran,0,0
maquina gracias a tesla comes,1,1
ja lo que yo decia coches electricos no compensan gastar tanto prefiero de combustion fosil dura anos y anos y nunca te van a dar problemas a excepcion de como lo trates,1,1
setecientos quince en europa es de dudosa legalidad en usa es lo mas normal tiene el mismo sistema de bloqueo que un iphone te encuentras en la basura un telefono roto y si es de la marca de la manzanita por micho que lo arregles sin la cuenta de usuario del que lo tiro no se puede desbloquear ni iniciar aunque lo restablezca pese a que sub anterior dueno lo titrara esa es la misma filosofia que hay en tesla bloquearlo a la primera de cambio para que quien quiera uno se tenga que comprar nuevo en lugar de reutilizar el viejo muy ecologico todo,0,0
solo un genio se compra algo que despues resulta que no es suyo felicitaciones a los descerebrados fans de tesla,0,0
enhorabuena juanmi ya echaba de menos este rato de mecanica dale canava a quedar bien curioso el coche a por mas videos campeon,0,0
te comento en argentina las baterias las desensamblamos pila a pila y las reutilizamos es cierto que implica mucho trabajo pero son de excelente calidad para muchos usos,0,0
y veras cuando te bloquen el coche los fines de semana o por hacer un cometario contrario al pensamiento unico o o porque tu carnet de buen ciudadano halla llegado a cero o hayas emitido mas co2 de lo permitido ya no son teorias de la conspiracion es real no solo tesla la mayoria de las marcas son asi no tendras nada si seras feliz beee beee bee,0,0
me compro una carreta antes que un tesla,1,0
jajaja hay estan para los q viven del consumismo y el supuesto lujo x marca q al final es solo basura con marca es triste q la gente x pretender estar muchas veces a la moda compran estos tipos de vehiculos y mas electricos pero aca el refleja larealidad automotriz pa donde va,0,0
capo usted luchemos contra la soga verde,1,1
a hackear el sistema operativo y esparcirlo en las redes para liberar los autos y desconectarlo de la red de tesla no hay de otra,0,0
y la empresa espanola que recicla las baterias al noventa y ocho hay un video creo que con carwow que sale la empresa que es,0,0
bueno lo legal no tiene porque ser moral o adecuadola mentira del lenguajeo la esclavitud de la ley escrita,0,0
lo preocupante es que los clientes de tesla justificaran todo esto o por lo menos lo veran logico,0,0
jajaja viralizar por favor todos contra el timo climaticoenergetico jajajaa ver cuando la gente no compre estos objetos cuando dejemos de obedecer y de comprar ciertas cosas de este mundola humanidad se salvara,0,0
menudo negocio tienen losanglo sajonespiratas,1,1
por ciento carro a combustion la pila para radio,1,0
mejor un auto clasico a combustible sin tanta tecnologia,0,1
en comienzo del video dijiste no hay bornes de bateria estoy seguro que cuando lanzo ford los autos no habia soporte de muchas piezas otra mostra algun mail de queja y que es lo que te responden aqui es tu palabra contra tesla y si no te creo el video esta incompleto solo una campana faltan datos por ultimo quien lo compro era responsable del pin pd es como que una radio tiene pin en mi ford y si desconecta la bateria se apaga la misma cuando lo vuelves a conectar para encender la radio te solicita poner el pin si no lo tengo saco un video y digo ford es un desastre por que no me dejo el ping y no es asi el temafin,0,0
ya hubo una demanda a la compania john deere la cual perdieron que es tu derecho a reparar tu vehicular sin que tengas que depender de ellos,1,0
un saludo para todos y para este canal de youtube estas noticias me dicen que adquirir en su dia mi ford mondeo mk3 gasolina de dos mil seis con ya doscientos veintiséis mil km sin ningun problema fue un acierto,0,0
no tendras nada pero seras feliz o mas bien lo que compres no sera tuyo y creeras que eres feliz,0,1
con un par de,0,0
en pocas palabras los coches electricos de hoy en dia son una cagada monumental,0,0
buen video denunciando las cosas que se calla la industria de los automoviles electricos que estafa sigue ensenandonos mas cositas,0,0
asi es metele un motor de gasolina y apanao,1,1
la estafa del coche electrico otra mas,1,0
pues algo no quadra se estan poniendo en circulacion sin llave sin codigo y sin app ay unos tios en portugal que lo hacen asi sin mas y todo el coche funcionando perfectamente,0,0
porque es el coche de elon,1,0
mejor sigo con mi honda accord dos mil cuatro con trescientos sesenta y cinco mil millas y todo tranquilos,0,0
hombre asi veras como no tienen interes en robar coches tesla,1,1
ni por casualidad me compraria un electrico es un timo,0,0
nunca eres dueno de un tesla tesla es dueno del coche que les has pagado pueden hacer con el remotamente lo que les salga del pijo es asi es como tener un troyano en el ordenador,0,0
trabajar mejor los combustibles es la clave no hay un futuro con esos coches,0,0
y no se puede usar chasis y carroceria para crear un vehiculo de combustion el problema es la homologacion,1,0
exelente video tesla es una,0,1
tesla es un fracaso yo nunca un electrico y menos tesla,1,1
por desgracia es asi somos muy verdes para llenar el bolsillo pero no para cumplir con lo q predicamos,0,0
yo soy mecanico y le digo al cliente que limpie toda esa mierda o no le acepto el coche,0,0
jajajaja acabo de comprar un fiat ciento cuarenta y siete del ano mil novecientos ochenta para rrstaurarlo hace diez o doce anos esta parado le cambie algunas piezas basicas y arranco a la primera no es un tesla pero es mio nadie lo puede apagar a distancia,0,0
esto es la agencia dos mil treinta que tantos defienden,1,0
bello bueno felicidades,0,1
la solucion es facil nadie compra tesla,1,0
coches de juguete como yo los llamo jaja ni regalados donde este un buen muscle car clasico que se quite lo demas,0,0
john deer hace lo mismo con sus tractorescosechadoras etc el momento que te pngasa hacerle napas te bloquean y no puedes hacerle funcionar,0,0
corrupcion marca espana,1,1
le tienes de pedir el pin al antiguo dueno ya que de momento tu no eres el propietario de este tesla ya que no esta a tu nombre,0,0
salvaje me ponia yo cuando veia a la bellucci,0,0
estaba en duda entre un tesla y algo de gasolina del mismo rango de precio y me acabas de convencer a por un tesla de cabeza,0,0
ese v8 que te gustaria montarse podria hacer en usa,0,1
mejor adquirir un byd no tiene el derecho de apagar el coche si no atiendes sin su consentimiento,0,0
no quiero un tesla ni regalo la semana pasada sortearan unos y no me apunte,0,0
es un verdadero robo lo que ase tesla bueno en gringolandia los ricos hacen lo que quieren,0,0
salvage es como se llaman alli a los desguaces o sea tiene el titulo de desguace seria el equivalente a nuestro siniestro tesla es prepotente en ese aspecto y se la va a dar en toda la frente porque europa no es eeuu aqui esta en vigor el derecho a reparar y te va a tocar ir de juez y que les diga que desbloqueen el coche yo entiendo que si el coche fuese comparado a plazos tesla durante el tiempo de pago te lo pudiese bloquear si no les pagas como una reserva de dominio de aqui cuando financias un coche pero una vez pagado ni pueden ni deben hacer nada el coche es tuyo y puedes hacer con el lo que quieras como si lo quieres quemar pero como son cabezas cuadradas por mucho que les digas mira el contrato de compra la factura de haberlo pagado ahora el coche es mio y lo quiero desbloquear para poder repararlo y matricularlome parece que no te queda otra que ir de tribunales,0,0
pues mira asi te evitas que alguien compre una chatarra por trece mil euros y te la venda por treinta mil con mas operaciones que la paz a sus espaldas,0,0
lo que hacen esos tipos con su maldita obsolescencia programada no me adhiero a ese movimiento me compre hace poco un hyundai i20 del dos mil dieciséis de doce litros y ochenta y cuatro caballos a gasolina bastante economico y muy bien hecho y pago como treinta al ano por el impuesto de rodamiento gran diferencia respecto a los doscientos noventa y ocho que pague por el que tuve antes si por mucho me hago a un vehiculo tecnologicamente avanzado ese sera un hibrido y no enchufable no va mas,0,0
vaya tela,1,1
dales cana gaitan,1,1
el coche electrico nunca fue la solucion es simple la densidad energetica de las baterias frente a los combustibles es simplemente ridicula otra cosa seria el hidrogeno o los combustibles sinteticos producidos a escala junto con plantas captadoras de co2 eso si es una solucion realista pero claro no permite que ciertos senores se forren no os dejeis enganar esto va de negocios y dinero mucho dinero es necesario la descarbonizacion si evidentemente pero no asi esto es una filfa y un engano una nueva manera de que cuatro listos se inflen los bolsillos a costa de la conciencia de la gente y de su buena voluntad lo del coche electrico se ha convertido en una especie de dogma que no soporta la mas minima critica cuando es ya evidente que forma parte del problema no es sostenible punto al final produce emisiones igualmente la luz se esta produciendo con la quema de combustible fosil haber si nos enteramos de una vezy contamina lo de las baterias pronto nos va a explotar y son muy contaminantes un abrazo para todos los que os comprasteis un coche electrico,0,0
antes de comprar arrancar el coche si no arranca nada regla basica,1,0
y digo yo desde mi ignorancia y aun sabiendo que es delito y tal pero para que funcione tu propio coche teniendo mas teslas con su ficha no se puede falsificar para mandarle copia a tesla y asi que te permitan ejecutar el modo pin del dos tesla si ellos hacen trampas porque yo no,0,0
transporter t4 ano mil novecientos noventa y nueve trescientos treinta mil kilometros ultimo mantenimiento un catalizador nuevo por noventa y en la itv seis de gases,0,0
quien es tesla para prohibir la circulacion de mi vehiculo pues el que te vende el timo no lo compres y ya,0,0
ese cacharro con un v8 seria biem cacharro,0,1
manipular sin permiso tu propiedad que has pagado de forma legal es un acto ilegal a todas luces,1,1
eso es para que no te salgas de las ciudades de quince minutos,0,0
si comprar no es ser dueno de algo piratear no significa robar,1,1
yo vendi mi coche electrico a una casa de coches y me quite un peso de encima al final compre uno diesel y es lo mejor que he podido hacer a dia de hoy no compren un vehiculo electrico porque solo resta y eso se nota a muy corto plazo,0,0
ni regalao gasolina para siempre que te dura si lo cuidas un poco toda la vida un vehiculo de mi propiedad es mio no tengo que depender de otros si puedo usarlo o no tesla no son mas que una pandilla de bucaneros estafa socialmente aceptada,0,0
muy buen video angel en el fondo te estan alquilando su coche nunca sera tuyo y a traves de actualizaciones te obligan a cumplir con sus programas de mantenimiento por tu seguridad y cuando les da la gana te lo paran y se acabo aqui el ministerio de consumo mirando nubes como los tractores john deere ucranianos que cuando los rusos los robaron la empresa los inutilizo en remoto si queremos ser libres y duenos de pleno derecho de lo que compramos tenemos que vigilar las conexiones por internet y las supuestas actualizaciones,0,0
lo que veo es que tesla es una empresa para que los idiotas le compren sus coches y tenerte controlada la libertad de movimientos hay que ser ignorante para comprarse un tesla en mi opinion,0,0
angel estariamos hablando de coacciones,0,1
es una pena el cargarse el futuro de los vehiculos por esta mentira del reciclaje y las baterias de litio al final la unica solucion sera no comprar vehiculos y alquilar a las marcas los vehiculos y que se coman ellos la mentira de la reutilizacion de las baterias,0,0
es ilegal bloquear un vehiculo de un propietario legal,1,1
asi pasa ya se empieza a comentar lo sostenible es una estafa para el pueblo,1,0
mas ventajas de comprar electricos,1,1
pide una centralita a una marca china y hackea el tesla para que no haga falta ninguna cuenta ni nada por el estilo si es que ya lo decia mi abuelo como lo antiguo no hay,0,0
estos fabricantes taaaan listos nos van a obligar a pasar de ellos y buscar la opcion mas cutre con menos electronica posible imagino que aun quedara algo por ahi cien mecanico que nadie te pueda inutilizar apretando un boton y si no pues una bici muscular cien mecanica que ahi ningun hdlgp pueda meter mano en remoto via ip que asco como se esta poniendo el mundo estoy seguro que ya hay algun empresario avispado que ha visto nicho de negocio y que encantado te haria un coche como los de antes con cien mecanica y cero electronica pero claro no pasaria la normativa y no le dejarian vender nada en buropa en fin,0,0
no compraria un tesla jamas ni loco,1,0
gracias por denunciar esta realidad angel espero que algunos de esos diez mil despedidos de tesla saquen un software open source para saltarse todas sus restricciones,0,0
hay que leer bien lo que se firma igual hay alguna clausula de seguridad que les permite hacer eso me parece un abuso,0,0
