text,label
Avión venezolano: ocho tripulantes coinciden en vuelos a Paraguay y Argentina https://t.co/44UCL7qR7p vía @1000noticiaspy,0
Aquí pidiéndole consejos al amigo veneco pa sobrevivir al socialismo,0
"@DianaDvilaNarv1 Cínicos desinforman con guión preparado, ecena para novela #Venezolana 
#IzaTerroristaCorreaFinancista",0
@DianAngel01 No se chama dime tu 🤭🤭🤣😛😅😅,0
"Gobierno de Bélgica ustedes que albergan a Rafael Correa como refugiado, son corresponsables de sus actos y de la actual crisis social de Ecuador, los 18 millones queremos PAZ y reparación económica, argumentaremos y exigiremos la petición. https://t.co/rSndohzNEU",0
"A todas las personas que han tenido que moverse por su condición de Refugiadas les decimos #MiCasaEsTuCasa

Hoy en el día mundial de las personas, conmemoramos su Lucha y esfuerzo por una vida digna.

Únete aquí con nuestro filtro 👇💙 https://t.co/CQfxpCtWQZ

 #DíaDelRefugiado https://t.co/C9csIQWipC",0
"Y esto es lo que pasa cuando dejas a auténticos indocumentados al cargo del patrimonio de una de las hermandades más importantes de Sevilla.
Destrozan un manto y encima presumen de ello. https://t.co/aLgWHjr57n",0
"Repudiamos los actos vandalicos y responsabilizamos a Bélgica y su refugiado por no respetar y cumplir las leyes internacionales que lo asisten, las negociaciones de paz velarán por el bien de ecuatorianos y su reparación económica inmediata https://t.co/EqVaPloKg3",0
@maria_belen @LassoGuillermo @CpccsEc @CJudicaturaEc @CorteConstEcu @CorteNacional @cnegobec @IESSec Buenas noches: Dije ilegal / no irregular. Si no tienes documentos (indocumentado) para estar en un país / no existe legalidad en tu estadía.,0
"@IglesiasJulio87 Eso me dijeron dos venezolanas en Miami, que así pensaron al principio y mira en que terminó todo. Una de ellas llorando porque hasta las joyas las tuvo que vender (regalar) para poder salir de ese infierno.",0
@AnderssonBoscan Da órdenes en tu país veneco,1
El grupo de alumnos de @iesebschool ha recaudado unas 400 donaciones a favor de los proyectos de atención a personas refugiadas de #Ucrania que llevamos a cabo desde el inicio del conflicto. https://t.co/fB7Tr14gqb,0
@tecnoloxia Na comunidá valenciana o runrún sobre asuntos sórdidos con menores tutelados leva décadas a soar no ambiente. Chama a atención que rompese por onde rompeu.,0
"Ser venezolano , chavista y ni vivir en Venezuela apoyando al socialismo debe ser el acto de maldad más grande que existe.",0
AFIDRO y Profamilia se unieron para prestar servicios de salud sexual y reproductiva a población migrante y refugiada en Buenaventura https://t.co/ZgDaMpRXNa,0
@anaraffo1 @BancadaUNESec En Venezuela la regalan,0
El #DíaMundialDeLosRefugiados es una ocasión para fomentar la comprensión y la empatía hacia las personas refugiadas y desplazadas en consideración de las difíciles circunstancias en las que se encuentran.,0
@Polificcion Ahí no derechos humanos es solo para la venezolana que quemo el patrullero,1
"El conflicto de Ucrania visibiliza el doble rasero a la hora de proteger las personas refugiadas en el Estado español

https://t.co/FXkHUturlF",0
"Gobierno de Bélgica ustedes que albergan a Rafael Correa como refugiado, son corresponsables de sus actos y de la actual crisis social de Ecuador, los 18 millones queremos PAZ y reparación económica, argumentaremos y exigiremos la petición. https://t.co/3z8vpxb8bf",0
@Venereal14 Y a los asesinos de los chamos que prrotestaban contra Maduro?,0
"@LaPosta_Ecu Acto seguido, aumentará el flujo de personas venezolanas a Colombia, en dónde llegará un grupo de gente necesitada y principalmente delincuentes.  Historia ya vivida por Ecuador. Que pena que Colombia no aprendió de nuestra experiencia...",1
"#Migración | Según la cifra de la Agencia de la ONU para los Refugiados (ACNUR), al menos 6.659.220 ucranianos han huido de su país, partiendo principalmente hacia las naciones europeas vecinas.👇https://t.co/HEq7iTna7e",0
@MariaCorinaYA Gracias a la única y verdadera opositora venezolana,0
"Refugiado en la Universidad Salesiana en Quito, Gonzalo Ulcuando, oriundo de Cayambe - Cangahua, comenta sobre el recorrido que ha debido realizar para llegar a la capital y sus razones para sumarse al #ParoNacionalEc2022: 👉https://t.co/BWeVViVZE9 https://t.co/Xxm1YpaRAu",0
